#id,tipo,ipOrigem,portaOrigem,hostnameOrigem,ipDestino,portaDestino,malware,protocolo,sistemaOperacional,passo1,passo2,passo3,passo4,passo5,passo6,passo7,passo8,passo9,passo10,passo11,passo12,passo13,passo14
58,1,3356631530,42247,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
59,4,3356631213,0,0,0,0,0,0,0,16,17,1,40,11,12,21,22,41,23,0,0,0,0
60,1,3364102922,50636,11,3496221418,80,3,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
61,7,3356631348,0,0,0,0,0,0,0,16,17,11,39,25,37,36,23,0,0,0,0,0,0
62,1,3364102922,50874,11,3496221418,80,3,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
63,2,3356631221,40500,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
64,1,3356631530,34590,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
65,4,3364100242,0,0,0,0,0,0,0,16,17,1,11,35,25,21,22,23,0,0,0,0,0
66,1,3356631530,43248,0,1760825084,0,0,0,0,16,17,28,29,8,6,9,2,3,31,38,23,0,0
67,4,3364100242,0,0,0,0,0,0,0,16,17,1,11,35,25,21,22,23,0,0,0,0,0
68,7,3356631213,0,0,0,0,0,0,0,16,17,11,39,25,37,36,23,0,0,0,0,0,0
69,1,3356631530,38157,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
70,7,3356631213,0,0,0,0,0,0,0,16,17,11,39,25,37,36,23,0,0,0,0,0,0
71,1,3356631530,44199,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
72,1,3356631530,37400,28,1760825084,0,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
73,1,3356631530,46595,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
74,1,3356631530,34291,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
75,1,3356631530,35342,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
76,1,3356631530,57796,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
77,2,3356632987,30963,0,0,0,0,0,0,16,17,28,29,8,6,9,2,3,31,38,23,0,0
78,2,3356632987,30963,0,0,0,0,0,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
79,1,3356631530,57641,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
80,2,3364145294,58830,0,0,0,0,0,0,11,12,42,23,0,0,0,0,0,0,0,0,0,0
81,4,3364145399,0,0,0,0,0,0,0,11,12,42,23,0,0,0,0,0,0,0,0,0,0
82,2,3364100350,12705,23,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
83,1,3364102922,49819,11,3496221418,80,3,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
84,1,3356631530,50234,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
85,8,3356634396,0,0,0,0,0,0,0,16,17,11,39,25,37,36,23,0,0,0,0,0,0
86,1,3356631071,38402,6,0,80,3,0,1,16,17,1,15,25,5,2,3,9,21,22,23,0,0
87,5,3364103318,0,0,0,0,0,0,0,16,17,1,11,35,25,12,36,21,22,23,0,0,0
88,1,3356631530,34184,28,3496221418,80,3,0,1,16,17,28,29,25,5,2,3,9,32,31,23,0,0
89,2,3356631130,63836,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
90,1,3356631530,52279,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
91,1,3356631507,42615,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
92,1,3356631530,37354,28,0,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
93,1,3356631530,34374,0,1760825084,0,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
94,1,3356631530,56881,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
