2615570,1,44,50663,36,24,65,80,null,4,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
2611135,1,21,60072,null,null,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
2593322,1,23,55605,54,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
2576396,2,64,58072,null,null,null,null,null,null,1,null,16,17,1,11,12,42,21,22,23,null,null,null,null,null
2573709,1,44,58458,88,null,10,80,null,13,null,4,16,17,11,12,23,16,null,null,null,null,null,null,null,null
2454598,2,68,41848,null,null,null,null,null,null,1,null,16,17,11,25,12,23,null,null,null,null,null,null,null,null
2437587,3,79,null,null,null,null,null,null,null,null,null,16,17,11,25,43,44,31,23,null,null,null,null,null,null
2429732,2,88,58040,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
2423340,2,87,52871,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
2401037,2,64,51455,null,null,null,null,null,null,1,null,16,17,1,11,12,42,21,22,23,null,null,null,null,null
2397283,1,24,null,null,10,94,null,null,24,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
2295132,1,29,49156,null,21,60,80,21,11,4,1,16,17,1,15,25,5,2,3,9,31,21,22,23,null
2287214,1,29,50606,null,21,61,80,21,11,4,1,16,17,1,15,25,5,2,3,9,31,21,22,23,null
2261674,2,68,1207,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
2177493,1,23,40711,88,null,10,80,null,13,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
2159636,2,28,1035,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
2137448,1,23,54919,88,null,11,80,null,13,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
2102389,1,21,34934,36,26,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
2100350,1,23,42930,88,null,88,80,null,13,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
2094184,1,4,41838,null,22,99,8080,8,5,null,1,16,17,1,15,8,6,9,2,3,31,21,22,23,null
2091086,1,49,3938,5,31,99,80,20,8,null,1,16,17,1,15,8,6,9,2,3,31,21,22,23,null
1997310,1,23,38561,29,28,99,80,20,8,null,1,16,17,28,29,25,5,2,3,9,31,32,38,23,null
1951610,1,5,6230,null,null,null,null,null,12,null,null,26,16,17,1,15,25,5,2,3,9,31,21,22,23
1911394,4,15,null,null,null,null,null,null,null,null,null,16,17,40,15,25,5,2,3,9,37,41,31,23,null
1888543,1,64,60838,36,14,65,80,null,4,null,1,16,17,1,11,12,42,21,22,23,null,null,null,null,null
1884529,1,64,36886,null,null,20,null,null,4,null,1,1,11,12,21,22,23,null,null,null,null,null,null,null,null
1880251,1,64,43546,36,14,65,80,null,4,null,1,16,17,1,11,12,42,21,22,23,null,null,null,null,null
1871311,2,81,16539,null,null,null,null,null,null,1,null,11,12,23,null,null,null,null,null,null,null,null,null,null,null
1862997,2,63,60559,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1839078,1,10,null,null,null,null,null,null,null,null,null,26,null,null,null,null,null,null,null,null,null,null,null,null,null
1822135,5,28,53,null,33,null,null,null,null,5,null,16,17,1,11,12,34,21,22,31,23,null,null,null,null
1818260,5,28,53,null,33,null,null,null,null,5,null,16,17,1,11,12,34,21,22,31,23,null,null,null,null
1763218,6,10,null,89,null,null,null,null,null,null,null,16,17,39,11,null,null,null,null,null,null,null,null,null,null
1746148,5,28,53,null,33,null,null,null,null,5,null,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1744804,5,28,53,null,33,null,null,null,null,5,null,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1723249,2,73,21761,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1688144,1,23,49476,null,null,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1687334,1,23,58341,null,null,65,null,null,null,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
